"treatment","rep","protein"
"lupins",1,1.16936521003793
"lupins",2,1.16092976383873
"lupins",3,1.15464572038763
"lupins",4,1.14892171849218
"lupins",5,1.1358375974428
"lupins",6,1.12270926755568
"lupins",7,1.11860976721902
"lupins",8,1.10611029331527
"lupins",9,1.09058449405329
"lupins",10,1.06296592624872
"bar+lup",1,1.43385344829262
"bar+lup",2,1.36802319959058
"bar+lup",3,1.32259585647739
"bar+lup",4,1.31203745845866
"bar+lup",5,1.28732731817108
"bar+lup",6,1.28335764531912
"bar+lup",7,1.273244303023
"bar+lup",8,1.26793247652488
"bar+lup",9,1.26202433497374
"bar+lup",10,1.25456340999561
"barley",1,1.51084281566938
"barley",2,1.39875288946937
"barley",3,1.36068513228951
"barley",4,1.33614143323298
"barley",5,1.32775537999933
"barley",6,1.32007753494008
"barley",7,1.30910250965154
"barley",8,1.29710827270585
"barley",9,1.28764433944999
"barley",10,1.28490140796628
